step,train_acc
0,0.1953125
100,0.328125
200,0.265625
300,0.296875
400,0.3046875
500,0.2578125
600,0.28125
700,0.234375
800,0.2734375
900,0.3046875
1000,0.328125
1100,0.3046875
1200,0.2421875
1300,0.296875
1400,0.2421875
1500,0.3203125
1600,0.2734375
1700,0.3359375
1800,0.296875
1900,0.3359375
2000,0.34375
2100,0.3046875
2200,0.359375
2300,0.2578125
2400,0.265625
2500,0.28125
2600,0.3984375
2700,0.328125
2800,0.2265625
2900,0.2890625
3000,0.2890625
3100,0.265625
3200,0.28125
3300,0.3125
3400,0.296875
3500,0.2421875
3600,0.328125
3700,0.3046875
3800,0.3671875
3900,0.3125
4000,0.2734375
4100,0.234375
4200,0.2890625
4300,0.2734375
4400,0.34375
4500,0.3359375
4600,0.3125
4700,0.3125
4800,0.3046875
4900,0.296875
