step,loss
0,0.7870208
100,0.44584423
200,0.37052906
300,0.24493317
400,0.12576279
500,0.09528497
600,0.07306302
700,0.061777305
800,0.051851217
900,0.04907026
1000,0.044078723
1100,0.049805004
1200,0.042511154
1300,0.04437321
1400,0.04578463
1500,0.042592388
1600,0.045049045
1700,0.057027817
1800,0.045415737
1900,0.044002317
2000,0.05873567
2100,0.0438712
2200,0.04178622
2300,0.04462188
2400,0.03612273
2500,0.043103784
2600,0.038231317
2700,0.049188066
2800,0.040136762
2900,0.037340444
3000,0.048510477
3100,0.038127042
3200,0.03841206
3300,0.037294943
3400,0.034609225
3500,0.034476895
3600,0.03759854
3700,0.03705659
3800,0.04560406
3900,0.032943178
