,precision,recall,f1-score,support
0,1.0,1.0,1.0,5.0
1,1.0,1.0,1.0,8.0
2,1.0,1.0,1.0,5.0
3,1.0,1.0,1.0,9.0
4,1.0,1.0,1.0,7.0
5,1.0,0.8,0.888888888888889,5.0
6,1.0,1.0,1.0,5.0
7,1.0,1.0,1.0,6.0
8,0.8888888888888888,1.0,0.9411764705882353,8.0
9,1.0,0.8888888888888888,0.9411764705882353,9.0
10,1.0,1.0,1.0,8.0
11,1.0,0.9090909090909091,0.9523809523809523,11.0
12,1.0,1.0,1.0,6.0
13,0.7142857142857143,1.0,0.8333333333333333,5.0
14,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
15,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
16,1.0,0.875,0.9333333333333333,8.0
17,0.9,1.0,0.9473684210526316,9.0
18,1.0,1.0,1.0,5.0
19,1.0,1.0,1.0,6.0
20,1.0,1.0,1.0,6.0
21,0.8888888888888888,0.8,0.8421052631578948,10.0
22,1.0,1.0,1.0,8.0
23,0.9090909090909091,1.0,0.9523809523809523,10.0
24,1.0,1.0,1.0,10.0
25,1.0,1.0,1.0,5.0
26,1.0,1.0,1.0,5.0
27,1.0,1.0,1.0,5.0
accuracy,0.96,0.96,0.96,0.96
macro avg,0.9659709338280766,0.9649646980004123,0.9635062797048644,200.0
weighted avg,0.9638116883116884,0.96,0.9601257309941521,200.0
